dataset_short_name,model,level,f1_mean,f1_std,f1_rank
p2p/0.1,MP-Former (Offline),trace,0.39256430868937525,0.0067071138475524985,1.0
p2p/0.1,MP-Former (Online),attribute,0.055275306664738406,0.0017654062402395353,2.0
p2p/0.1,MP-Former (Online),event,0.0365679581098955,0.003569227517125136,2.0
p2p/0.1,MP-Former (Online),trace,0.33012449735251137,0.007203504501001406,2.0
p2p/0.15,COMB (1),attribute,0.004836913633571898,0.0,3.5
p2p/0.15,COMB (1),event,0.03683379958396098,0.0,3.5
p2p/0.15,COMB (1),trace,0.1929887965305385,0.0,3.5
p2p/0.15,COMB (20),attribute,0.004836913633571898,0.0,3.5
p2p/0.15,COMB (20),event,0.03683379958396098,0.0,3.5
p2p/0.15,COMB (20),trace,0.1929887965305385,0.0,3.5
p2p/0.15,MP-Former (Offline),attribute,0.078163525683473,0.0015818982311396285,1.0
p2p/0.15,MP-Former (Offline),event,0.0592504809129355,0.0012232748356247164,1.0
p2p/0.15,MP-Former (Offline),trace,0.4226615237235909,0.002135720064917552,1.0
p2p/0.15,MP-Former (Online),attribute,0.06899752815299419,0.000978336055233443,2.0
p2p/0.15,MP-Former (Online),event,0.053679549925930804,0.0032469048870503573,2.0
p2p/0.15,MP-Former (Online),trace,0.3505708017438638,0.010402459751883194,2.0
p2p/0.2,COMB (1),attribute,0.007100502322770705,0.0,3.5
p2p/0.2,COMB (1),event,0.052663628143856216,0.0,3.5
p2p/0.2,COMB (1),trace,0.24653691039803607,0.0,3.5
p2p/0.2,COMB (20),attribute,0.007100502322770705,0.0,3.5
p2p/0.2,COMB (20),event,0.052663628143856216,0.0,3.5
p2p/0.2,COMB (20),trace,0.24653691039803607,0.0,3.5
p2p/0.2,MP-Former (Offline),attribute,0.07317921799457995,0.0009356854482627384,1.0
p2p/0.2,MP-Former (Offline),event,0.06626799647573316,0.0011539877738538469,1.0
p2p/0.2,MP-Former (Offline),trace,0.42203818511132996,0.00694726704351215,1.0
p2p/0.2,MP-Former (Online),attribute,0.06507959543428334,0.0012683524802630808,2.0
p2p/0.2,MP-Former (Online),event,0.05913907812174691,0.0018814143939576565,2.0
p2p/0.2,MP-Former (Online),trace,0.3428053502420574,0.005712463388700425,2.0
p2p/0.25,COMB (1),attribute,0.010601251694495628,0.0,3.5
p2p/0.25,COMB (1),event,0.07701210302281332,0.0,3.5
p2p/0.25,COMB (1),trace,0.31847990583487473,0.0,3.5
p2p/0.25,COMB (20),attribute,0.010601251694495628,0.0,3.5
p2p/0.25,COMB (20),event,0.07701210302281332,0.0,3.5
p2p/0.25,COMB (20),trace,0.31847990583487473,0.0,3.5
p2p/0.25,MP-Former (Offline),attribute,0.07265675646560195,0.00045430583856304036,1.0
p2p/0.25,MP-Former (Offline),event,0.0851533012631044,0.000496638652024144,1.0
p2p/0.25,MP-Former (Offline),trace,0.4489633006249207,0.0013549752021122556,1.0
p2p/0.25,MP-Former (Online),attribute,0.0686888812929436,0.0012020235003741514,2.0
p2p/0.25,MP-Former (Online),event,0.07864556026545325,0.0007050296862336147,2.0
p2p/0.25,MP-Former (Online),trace,0.40907770440308333,0.0028901992514656304,2.0
p2p/0.3,COMB (1),attribute,0.011885977098262885,0.0,3.5
p2p/0.3,COMB (1),event,0.08641684607104415,0.0,1.5
p2p/0.3,COMB (1),trace,0.38943469157674343,0.0,3.5
p2p/0.3,COMB (20),attribute,0.011885977098262885,0.0,3.5
p2p/0.3,COMB (20),event,0.08641684607104415,0.0,1.5
p2p/0.3,COMB (20),trace,0.38943469157674343,0.0,3.5
p2p/0.3,MP-Former (Offline),attribute,0.07629247634461771,0.0004021894773830226,1.0
p2p/0.3,MP-Former (Offline),event,0.07679672591771777,0.0006676336614012993,3.0
p2p/0.3,MP-Former (Offline),trace,0.4772252854880606,0.0027751628617675617,1.0
p2p/0.3,MP-Former (Online),attribute,0.07047023773978399,0.0009568650772447221,2.0
