dataset_short_name,model,level,f1_mean,f1_std,f1_rank
p2p/0.45,transformer_order_2,event,0.13349601709370215,0.040313629937575056,4.0
p2p/0.45,transformer_order_2,trace,0.4253832545018448,0.0764885136106864,2.0
p2p/0.45,transformer_order_4,attribute,0.09765375111771152,0.056298670887839686,3.0
p2p/0.45,transformer_order_4,event,0.1339474479930045,0.04099603474858774,1.0
p2p/0.45,transformer_order_4,trace,0.4254149315857228,0.07641109188285,1.0
p2p/0.45,transformer_order_8,attribute,0.09825924919554009,0.055844950945352974,2.0
p2p/0.45,transformer_order_8,event,0.13361456205385325,0.04066325884107958,3.0
p2p/0.45,transformer_order_8,trace,0.42431009867121317,0.07600143715248765,4.0
small/0.45,transformer_order_1,attribute,0.09860609263570402,0.06942585464050795,2.0
small/0.45,transformer_order_1,event,0.13348515191938523,0.05941151931068133,1.0
small/0.45,transformer_order_1,trace,0.47606455332702186,0.14492561983766014,3.0
small/0.45,transformer_order_2,attribute,0.0983442257375709,0.07040471155002569,4.0
small/0.45,transformer_order_2,event,0.13327825122984985,0.059702262359099215,4.0
small/0.45,transformer_order_2,trace,0.4776972623096701,0.1476895035677871,1.0
small/0.45,transformer_order_4,attribute,0.0984689654482203,0.07125014833940571,3.0
small/0.45,transformer_order_4,event,0.1332892800403244,0.059848099915288965,3.0
small/0.45,transformer_order_4,trace,0.47745717397419746,0.1480667099967037,2.0
small/0.45,transformer_order_8,attribute,0.09897759430570739,0.07135290845966541,1.0
small/0.45,transformer_order_8,event,0.1333532840234453,0.060248556287677814,2.0
small/0.45,transformer_order_8,trace,0.4747411738940312,0.14870847310888444,4.0
wide/0.45,transformer_order_1,attribute,0.09642309384405395,0.054313997543146565,4.0
wide/0.45,transformer_order_1,event,0.1309410063875346,0.03465504246491051,4.0
wide/0.45,transformer_order_1,trace,0.41923528935471316,0.09455201295169903,4.0
wide/0.45,transformer_order_2,attribute,0.09763186306375139,0.05574701248129703,2.0
wide/0.45,transformer_order_2,event,0.13179987501084575,0.03638150331973541,2.0
wide/0.45,transformer_order_2,trace,0.4213929751065241,0.09905112481935188,2.0
wide/0.45,transformer_order_4,attribute,0.0977061418280189,0.05651922202198935,1.0
wide/0.45,transformer_order_4,event,0.1315473673608207,0.036665911072352245,3.0
wide/0.45,transformer_order_4,trace,0.42182268070271767,0.0990016520601867,1.0
wide/0.45,transformer_order_8,attribute,0.09719595342011045,0.056917715739845914,3.0
wide/0.45,transformer_order_8,event,0.13211590343372356,0.03669789846647007,1.0
wide/0.45,transformer_order_8,trace,0.4213729534800496,0.09875860453541722,3.0
gigantic/0.45,transformer_order_1,combined,0.19358950589228224,0.1409526008173369,4.0
gigantic/0.45,transformer_order_2,combined,0.19538512211506365,0.14208379808741753,3.0
gigantic/0.45,transformer_order_4,combined,0.19576227966662088,0.14083349882733817,1.0
gigantic/0.45,transformer_order_8,combined,0.19553063751433394,0.1428136510588904,2.0
huge/0.45,transformer_order_1,combined,0.20965196174835593,0.16498134468200523,4.0
huge/0.45,transformer_order_2,combined,0.2105379107262541,0.16639544422211458,3.0
huge/0.45,transformer_order_4,combined,0.21111933073940742,0.167147134883084,2.0
huge/0.45,transformer_order_8,combined,0.2113137895464384,0.16740882114846012,1.0
large/0.45,transformer_order_1,combined,0.19828255458678995,0.1594395716019126,4.0
large/0.45,transformer_order_2,combined,0.19907732304047973,0.15984864391199846,2.0
large/0.45,transformer_order_4,combined,0.1993903018565456,0.1607196901601203,1.0
large/0.45,transformer_order_8,combined,0.19866109510341923,0.1598870270571372,3.0
p2p/0.45,transformer_order_1,combined,0.21904000045657976,0.15863817259568824,1.0
p2p/0.45,transformer_order_2,combined,0.2187206821172203,0.15977595243282727,4.0
p2p/0.45,transformer_order_4,combined,0.21900537689881297,0.15967549622132657,2.0
p2p/0.45,transformer_order_8,combined,0.2187279699735355,0.1589505181014778,3.0
small/0.45,transformer_order_1,combined,0.23605193262737037,0.19763549302569514,3.0
small/0.45,transformer_order_2,combined,0.2364399130923636,0.19918988598705628,1.0
small/0.45,transformer_order_4,combined,0.23640513982091405,0.19925487234205944,2.0
small/0.45,transformer_order_8,combined,0.2356906840743946,0.19819840601623223,4.0
wide/0.45,transformer_order_1,combined,0.21553312986210055,0.16018318921514327,4.0
wide/0.45,transformer_order_2,combined,0.21694157106037376,0.16178280422260666,2.0
wide/0.45,transformer_order_4,combined,0.2170253966305191,0.1620905912534153,1.0
wide/0.45,transformer_order_8,combined,0.2168949367779612,0.16192193445932543,3.0
